id,createdBy,createdDate,modifiedBy,modifiedDate,status,name,price,description,images,productInfors
1,,3/12/2022,van123,9/12/2022,1,Adidas NMD,250,"The adidas NMD is a modern lifestyle shoe, built with cutting-edge technologies that pay homage to the lifestyle adidas archive shoes like the Micro Pacer.","[{'id': 2, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077053/upload/zevhk0xdayzkho8ncccq.jpg'}, {'id': 3, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077067/upload/elmvtp0qeoc9ygqt5fwf.jpg'}, {'id': 1, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077042/upload/rupqgo1fojxoeu1kla90.jpg'}]","[{'id': 4, 'size': '6', 'amount': '0'}, {'id': 5, 'size': '7.5', 'amount': '2'}, {'id': 1, 'size': '3.5', 'amount': '3'}, {'id': 2, 'size': '5', 'amount': '0'}, {'id': 3, 'size': '7', 'amount': '14'}]"
2,admin,3/12/2022,,,1,Adidas Superstar,200,The Superstar is a style of a low-top athletic shoe which has been manufactured by the German multinational company Adidas since 1969.,"[{'id': 5, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077093/upload/m2nohhdbht5qyuwdqqpi.jpg'}, {'id': 4, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077083/upload/uhpsvfwctfkrcpe05lz1.jpg'}, {'id': 6, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077099/upload/svs5knpuhn4ols8cjdzr.jpg'}]","[{'id': 7, 'size': '4.5', 'amount': '0'}, {'id': 9, 'size': '6.5', 'amount': '4'}, {'id': 6, 'size': '4', 'amount': '4'}, {'id': 10, 'size': '7.5', 'amount': '4'}, {'id': 8, 'size': '5.5', 'amount': '3'}]"
3,admin,3/12/2022,,,1,Adidas Ultra Boot,255,"The adidas Ultraboost was a major moment in the evolution of Boost. Launched in 2015, Ultraboost was developed using ARAMIS motion capture technology.","[{'id': 9, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077135/upload/b4hizpsauz9kz9jrchd6.jpg'}, {'id': 8, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077130/upload/yrkp3r1cst9dkww6pnem.jpg'}, {'id': 7, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077122/upload/tvduihefbppuihcjtvm5.jpg'}]","[{'id': 11, 'size': '7.5', 'amount': '0'}, {'id': 12, 'size': '6.5', 'amount': '11'}, {'id': 13, 'size': '5.5', 'amount': '5'}]"
4,,3/12/2022,admin,10/5/2023,1,Adidas XPLR White,249,The Adidas XPLR  is one of the most notable Adidas shoe models in 2018. This shoe has the smoothness and comfort of NMD but the price is only half.,"[{'id': 11, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077158/upload/caou1rxze2trdieuj7ky.jpg'}, {'id': 12, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077163/upload/ywzbdjdhekztvs7giimp.jpg'}, {'id': 10, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077145/upload/anlsxyk1eysw5xy1kzvt.jpg'}, {'id': 13, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077168/upload/eh5pk6nrgupzrqonp519.jpg'}]","[{'id': 15, 'size': '6.5', 'amount': '13'}, {'id': 14, 'size': '4.5', 'amount': '10'}, {'id': 16, 'size': '7.5', 'amount': '12'}]"
5,admin,3/12/2022,,,1,Adidas Yeezy 350,349,The YEEZY BOOST 350 V2 features an upper composed of re-engineered Primeknit. The post-dyed monofilament side stripe is woven into the upper.,"[{'id': 14, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077181/upload/qyazgz3bbfimsdf50u3q.jpg'}, {'id': 15, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077195/upload/e2pslx1ka6eshsn4gs16.jpg'}, {'id': 16, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077199/upload/sjgqnedcqsmkm52kvjkb.jpg'}]","[{'id': 17, 'size': '4.5', 'amount': '10'}, {'id': 18, 'size': '6', 'amount': '6'}, {'id': 19, 'size': '7.5', 'amount': '4'}]"
6,admin,3/12/2022,,,1,Adidas Yeezy 380,349,"The YEEZY BOOST 380 features an upper composed of multi-toned re-engineered Primeknit. The translucent monofilament window is woven into the upper, and the sock-like construction provides a snug fit and allows you to wear with or without laces.","[{'id': 21, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077317/upload/v7rlzvkyo3ojxdrtsg2a.jpg'}, {'id': 22, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077320/upload/bv5icjmomzrunogm8jv8.jpg'}, {'id': 20, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077312/upload/kxmvmtyh3b31jiiflybo.jpg'}]","[{'id': 67, 'size': '4', 'amount': '0'}, {'id': 66, 'size': '3.5', 'amount': '3'}]"
7,admin,3/12/2022,,,1,Adidas Yeezy 700,259,The YEEZY BOOST 700 features an upper composed of suede overlays and premium leather with mesh underlays and reflective heel and Three Stripe details.,"[{'id': 19, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077466/upload/xc6mqih63r1fd07by4kd.jpg'}, {'id': 17, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077362/upload/lcwoe4vbavreigs4ykua.jpg'}, {'id': 18, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077368/upload/yzyqqa18dt899i5qzv68.jpg'}]","[{'id': 23, 'size': '5', 'amount': '12'}, {'id': 21, 'size': '4', 'amount': '15'}, {'id': 24, 'size': '5.5', 'amount': '7'}, {'id': 22, 'size': '4.5', 'amount': '7'}, {'id': 20, 'size': '3.5', 'amount': '10'}]"
8,,3/12/2022,admin,27/2/2023,1,Bitis Hunter X,99,"Biti's Hunter X is a Vietnamese sports shoe that brings a new breeze to sneaker fans, especially those who love products with bold national identity.","[{'id': 24, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077511/upload/cqdh3xy0krcefbjkcds4.jpg'}, {'id': 25, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077516/upload/nmr02fdq7foajf7hhnah.jpg'}, {'id': 23, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077506/upload/rkzgtzamqqmab0fhzjlf.jpg'}]","[{'id': 25, 'size': '3.5', 'amount': '9'}, {'id': 28, 'size': '5', 'amount': '9'}, {'id': 30, 'size': '6', 'amount': '9'}, {'id': 26, 'size': '4', 'amount': '9'}, {'id': 27, 'size': '4.5', 'amount': '7'}, {'id': 29, 'size': '5.5', 'amount': '9'}]"
9,admin,3/12/2022,,,1,Nike Jordan 1 High Blue,499,"Crafted from premium suede, this Jordan 1 University Blue cap showcases the model's signature color blocking, with UNC Blue, white and black panels for a classic look. ","[{'id': 26, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077693/upload/zahhsu0biwqpgwbikbgd.jpg'}, {'id': 27, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077698/upload/bd8cf7m0nicahigyljrq.jpg'}, {'id': 28, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077703/upload/w9bmp3lryfihpr2d8gdd.jpg'}]","[{'id': 35, 'size': '5.5', 'amount': '10'}, {'id': 32, 'size': '4', 'amount': '10'}, {'id': 36, 'size': '6', 'amount': '9'}, {'id': 34, 'size': '5', 'amount': '10'}, {'id': 33, 'size': '4.5', 'amount': '10'}, {'id': 31, 'size': '3.5', 'amount': '10'}]"
10,admin,3/12/2022,,,1,Nike Jordan 2,349,"Making its debut in 1986, the AJ2 was the cool younger sibling of its famous predecessorâ€”a sleeker and more pared-down version of the iconic AJ1.","[{'id': 29, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077714/upload/qj0hhf9akscse2sbfpmb.jpg'}, {'id': 31, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077723/upload/d7kwqvjj3biwsoh1k3js.jpg'}, {'id': 30, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077719/upload/vbnqdm4ijci9t6dg2ncc.jpg'}]","[{'id': 41, 'size': '5.5', 'amount': '12'}, {'id': 39, 'size': '4.5', 'amount': '10'}, {'id': 37, 'size': '3.5', 'amount': '10'}, {'id': 40, 'size': '5', 'amount': '10'}, {'id': 42, 'size': '6', 'amount': '10'}, {'id': 38, 'size': '4', 'amount': '10'}]"
11,,3/12/2022,admin,9/12/2022,1,Nike Jordan 3,339,"The Air Jordan III (3) is Michael Jordan's third signature basketball shoe. It released in 1988 in four colorways of white, black, red, and blue.","[{'id': 33, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077799/upload/fqma9go8akmfewdfybeo.jpg'}, {'id': 32, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077794/upload/p0mlbbjss3efetkiesip.jpg'}]","[{'id': 47, 'size': '5.5', 'amount': '10'}, {'id': 43, 'size': '3.5', 'amount': '10'}, {'id': 44, 'size': '4', 'amount': '10'}, {'id': 45, 'size': '4.5', 'amount': '10'}, {'id': 46, 'size': '5', 'amount': '10'}]"
12,admin,3/12/2022,,,1,Nike Jordan 4,339,AIR JORDAN IV The Air Jordan IV debuted in 1989 and was designed by Tinker Hatfield. It features lightweight netting and plastic wings on the upper as well as visible Max Air.,"[{'id': 34, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077809/upload/gyw7odzgfmjhermdbe5v.jpg'}, {'id': 35, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077814/upload/wtf2hhwhrjjspxfz5fbk.jpg'}]","[{'id': 50, 'size': '5.5', 'amount': '18'}, {'id': 49, 'size': '4.5', 'amount': '10'}, {'id': 48, 'size': '3.5', 'amount': '9'}, {'id': 51, 'size': '6', 'amount': '10'}]"
13,,3/12/2022,admin,9/5/2023,1,Nike Jordan Low,259,"Inspired by the original that debuted in 1985, the Air Jordan 1 Low offers a clean, classic look that's familiar yet always fresh.","[{'id': 38, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077838/upload/jh7gvnjy6qhq3bdadrc7.jpg'}, {'id': 36, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077830/upload/vmnhiqnc5cbmtmbdycnh.jpg'}, {'id': 37, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077834/upload/v9e5apkxlvcmxr4nrphu.jpg'}]","[{'id': 52, 'size': '3.5', 'amount': '9'}, {'id': 54, 'size': '5', 'amount': '10'}, {'id': 53, 'size': '6', 'amount': '10'}, {'id': 55, 'size': '4.5', 'amount': '10'}]"
14,admin,3/12/2022,,,1,Nike Air Force One,199,"The Nike Air Force 1 remains a popular retro shoe to this day. The Air Force 1 features an upper that is most frequently dressed in leather, a large Swoosh across the lateral.","[{'id': 41, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077937/upload/ymggubvouxxbm30squzt.jpg'}, {'id': 39, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077928/upload/whpncimfidhpkss7ul9h.jpg'}, {'id': 40, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077933/upload/lkh9oxjibiozr73jdgp7.jpg'}, {'id': 42, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077941/upload/wnofmomih8yves5ku9vy.jpg'}]","[{'id': 56, 'size': '3.5', 'amount': '10'}, {'id': 57, 'size': '4', 'amount': '10'}, {'id': 60, 'size': '5.5', 'amount': '9'}, {'id': 59, 'size': '5', 'amount': '10'}, {'id': 58, 'size': '4.5', 'amount': '10'}]"
15,,3/12/2022,admin,10/5/2023,1,Nike Air Max 270,259,"The Max Air 270 unit delivers unrivaled, all-day comfort. The sleek, running-inspired design roots you to everything Nike.","[{'id': 44, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077997/upload/fmhgghxkxzcvvavntasn.jpg'}, {'id': 45, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670078003/upload/oqndy5zmhu9dwdkiihgs.jpg'}, {'id': 43, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1670077993/upload/ye66in3bnvhyfah0vu4b.jpg'}]","[{'id': 64, 'size': '5', 'amount': '10'}, {'id': 65, 'size': '5.5', 'amount': '9'}, {'id': 63, 'size': '4.5', 'amount': '11'}, {'id': 61, 'size': '3.5', 'amount': '8'}, {'id': 62, 'size': '4', 'amount': '0'}]"
16,,18/12/2022,admin,20/12/2022,0,test,120,test,"[{'id': 46, 'createdBy': None, 'createdDate': None, 'modifiedBy': None, 'modifiedDate': None, 'status': None, 'link': 'https://res.cloudinary.com/dhc3ajdqs/image/upload/v1679366943/upload/roregz1luaw89j55efwi.jpg'}]","[{'id': 69, 'size': '3.5', 'amount': '5'}, {'id': 70, 'size': '5', 'amount': '5'}, {'id': 72, 'size': '5.5', 'amount': '3'}, {'id': 71, 'size': '6', 'amount': '4'}, {'id': 68, 'size': '4', 'amount': '10'}, {'id': 73, 'size': '4.5', 'amount': '3'}]"
17,admin,9/5/2023,,,0,Bitis,200,Bitis...,[],[]
